Date,Open,High,Low,Close,Adj Close,Volume
"Sep 3, 2025","199.22","200.08","191.38","195.74","195.74","7,001,700"
"Sep 2, 2025","199.38","200.17","196.76","199.81","199.81","6,238,400"
"Aug 29, 2025","203.51","204.05","201.56","202.48","202.48","5,372,700"
"Aug 28, 2025","205.83","207.13","203.61","204.09","204.09","6,166,400"
"Aug 27, 2025","204.96","205.70","203.25","205.47","205.47","4,189,700"
"Aug 26, 2025","205.78","207.41","205.24","205.98","205.98","4,549,700"
"Aug 25, 2025","206.00","207.00","204.54","205.97","205.97","3,442,600"
"Aug 22, 2025","202.08","209.09","201.89","206.06","206.06","6,177,700"
"Aug 21, 2025","199.58","202.18","199.45","200.71","200.71","5,291,100"
"Aug 20, 2025","197.50","201.23","193.45","200.77","200.77","8,107,300"
"Aug 19, 2025","194.67","197.65","193.79","195.94","195.94","5,491,100"
"Aug 18, 2025","194.57","195.52","193.50","194.33","194.33","2,763,600"
"Aug 15, 2025","193.60","195.37","192.49","194.57","194.57","5,872,900"
"Aug 14, 2025","191.18","194.24","190.03","193.71","193.71","3,917,300"
"Aug 13, 2025","193.58","194.12","190.96","193.29","193.29","4,966,300"
"Aug 12, 2025","185.28","193.84","185.22","192.97","192.97","9,961,500"
"Aug 11, 2025","187.44","188.87","183.40","183.71","183.71","6,457,800"
"Aug 8, 2025","185.69","187.64","184.66","187.22","187.22","5,946,200"
"Aug 7, 2025","190.76","191.49","184.73","185.91","185.91","6,563,900"
"Aug 6, 2025","184.69","186.90","184.00","185.91","185.91","7,089,000"
"Aug 5, 2025","184.95","186.49","183.59","185.40","185.40","5,761,900"
"Aug 4, 2025","181.72","183.45","180.63","182.73","182.73","4,682,700"
"Aug 1, 2025","179.63","181.59","177.92","180.86","180.86","6,625,100"
"Jul 31, 2025","1.36","","","","",""
"Jul 31, 2025","186.14","186.91","179.81","181.06","181.06","10,144,000"
"Jul 30, 2025","192.15","192.58","188.30","189.52","188.16","6,985,100"
"Jul 29, 2025","189.71","192.89","188.90","191.38","190.01","7,144,700"
"Jul 28, 2025","187.88","190.54","187.75","189.25","187.89","8,586,800"
"Jul 25, 2025","185.70","185.88","183.20","184.99","183.66","7,031,800"
"Jul 24, 2025","186.42","187.89","185.03","185.69","184.36","9,049,500"
"Jul 23, 2025","194.90","195.00","185.29","186.25","184.91","30,755,700"
"Jul 22, 2025","214.04","216.00","212.16","214.92","213.38","11,730,800"
"Jul 21, 2025","217.44","219.00","214.21","214.57","213.03","8,269,800"
"Jul 18, 2025","218.49","218.65","215.91","216.62","215.07","4,550,100"
"Jul 17, 2025","216.14","217.00","215.49","216.59","215.04","4,920,100"
"Jul 16, 2025","218.40","218.61","211.71","216.64","215.09","6,420,900"
"Jul 15, 2025","220.77","221.40","217.97","218.36","216.79","4,419,700"
"Jul 14, 2025","219.41","220.26","217.30","220.05","218.47","4,723,600"
"Jul 11, 2025","219.75","221.69","218.22","221.25","219.66","5,396,300"
"Jul 10, 2025","219.28","220.78","217.56","219.66","218.08","3,971,400"
"Jul 9, 2025","216.94","218.90","215.20","216.39","214.84","5,231,400"
"Jul 8, 2025","215.00","219.37","214.02","216.63","215.08","6,844,600"
"Jul 7, 2025","215.02","215.63","212.20","213.41","211.88","5,221,400"
"Jul 3, 2025","215.25","216.94","214.72","216.02","214.47","2,561,100"
"Jul 2, 2025","210.44","216.18","209.48","215.59","214.04","5,533,400"
"Jul 1, 2025","207.00","211.68","206.49","210.45","208.94","5,856,200"
"Jun 30, 2025","207.09","208.38","206.44","207.62","206.13","5,319,900"
"Jun 27, 2025","205.50","207.69","205.29","207.08","205.59","8,585,100"
"Jun 26, 2025","206.31","207.32","205.77","206.31","204.83","4,579,200"
"Jun 25, 2025","206.03","206.42","203.31","205.38","203.91","4,748,300"
"Jun 24, 2025","203.23","206.20","203.00","205.81","204.33","7,597,800"
"Jun 23, 2025","199.00","201.83","198.36","201.39","199.94","4,565,400"
"Jun 20, 2025","200.41","200.93","196.58","198.20","196.78","12,910,000"
"Jun 18, 2025","198.60","200.57","197.29","198.35","196.93","3,742,000"
"Jun 17, 2025","198.00","200.62","196.88","197.69","196.27","4,656,300"
"Jun 16, 2025","197.28","199.86","196.60","199.22","197.79","5,864,500"
"Jun 13, 2025","196.09","199.04","194.47","195.00","193.60","5,138,200"
"Jun 12, 2025","198.25","200.32","198.11","199.66","198.23","3,257,600"
"Jun 11, 2025","203.31","203.35","198.15","199.69","198.26","5,062,100"
"Jun 10, 2025","199.98","203.17","199.48","202.29","200.84","6,247,700"
"Jun 9, 2025","193.74","200.43","193.47","199.21","197.78","6,869,700"
"Jun 6, 2025","193.69","194.84","192.26","192.42","191.04","5,338,800"
"Jun 5, 2025","192.91","194.29","189.32","190.49","189.12","6,017,700"
"Jun 4, 2025","188.91","192.10","188.48","190.72","189.35","5,780,600"
"Jun 3, 2025","183.24","188.50","182.62","188.08","186.73","5,612,600"
"Jun 2, 2025","181.85","184.71","181.61","184.21","182.89","5,648,300"
"May 30, 2025","184.98","185.14","179.76","182.85","181.54","15,101,100"
"May 29, 2025","186.24","186.48","182.93","184.99","183.66","4,533,800"
"May 28, 2025","183.35","185.92","183.09","184.15","182.83","5,752,800"
"May 27, 2025","179.10","183.33","177.84","183.24","181.93","7,939,400"
"May 23, 2025","177.01","177.29","173.75","176.30","175.03","7,416,700"
"May 22, 2025","185.94","186.91","179.98","180.21","178.92","7,500,800"
"May 21, 2025","186.50","189.90","184.73","185.42","184.09","8,977,400"
"May 20, 2025","188.34","189.00","186.92","188.71","187.36","5,289,200"
"May 19, 2025","185.00","188.48","184.25","188.34","186.99","6,460,900"
"May 16, 2025","189.31","189.31","186.81","188.50","187.15","4,518,700"
"May 15, 2025","186.17","189.76","185.51","187.83","186.48","5,534,000"
"May 14, 2025","187.47","187.73","185.05","187.34","186.00","6,552,300"
"May 13, 2025","186.34","189.51","186.34","188.20","186.85","9,837,500"
"May 12, 2025","185.65","189.36","185.11","187.28","185.94","16,210,400"
"May 9, 2025","170.07","172.60","169.61","172.27","171.03","8,655,100"
"May 8, 2025","166.92","168.43","164.64","165.64","164.45","5,171,200"
"May 7, 2025","162.33","165.52","161.90","164.79","163.61","5,669,700"
"May 6, 2025","160.31","162.01","159.11","161.09","159.93","4,531,400"
"May 5, 2025","162.43","164.10","161.11","162.42","161.25","4,803,600"
"May 2, 2025","161.74","166.35","161.08","164.51","163.33","7,642,400"
"May 1, 2025","160.84","162.07","158.06","158.26","157.12","6,124,900"
"Apr 30, 2025","1.36","","","","",""
"Apr 30, 2025","156.37","160.63","154.90","160.05","158.90","6,158,600"
"Apr 29, 2025","159.49","162.35","158.75","160.77","158.27","6,566,500"
"Apr 28, 2025","163.35","163.54","159.72","162.44","159.91","5,170,500"
"Apr 25, 2025","161.84","163.70","160.52","162.86","160.32","8,383,300"
"Apr 24, 2025","164.63","165.00","158.42","162.13","159.60","18,950,400"
"Apr 23, 2025","153.17","155.34","151.28","152.15","149.78","14,125,000"
"Apr 22, 2025","145.87","148.24","145.08","146.76","144.47","9,139,900"
"Apr 21, 2025","145.46","146.74","142.64","145.61","143.34","8,275,000"
"Apr 17, 2025","147.32","150.19","145.92","148.44","146.13","5,739,200"
"Apr 16, 2025","147.23","149.73","142.56","146.55","144.27","10,862,500"
"Apr 15, 2025","151.42","152.70","149.85","151.18","148.83","6,958,900"
"Apr 14, 2025","151.04","153.59","149.14","150.98","148.63","10,356,600"
"Apr 11, 2025","144.00","149.88","139.95","147.60","145.30","21,113,300"
"Apr 10, 2025","160.79","162.93","150.02","156.60","154.16","16,019,500"
"Apr 9, 2025","145.17","172.82","144.25","169.50","166.86","21,578,500"
"Apr 8, 2025","156.75","159.03","143.31","146.01","143.74","13,902,800"
"Apr 7, 2025","150.91","162.90","145.20","154.00","151.60","18,337,200"
"Apr 4, 2025","159.67","161.07","150.96","151.39","149.03","14,976,900"
"Apr 3, 2025","171.84","174.19","164.00","164.20","161.64","11,895,300"
"Apr 2, 2025","175.82","179.93","175.19","178.19","175.41","4,368,900"
"Apr 1, 2025","179.28","179.56","174.27","177.99","175.22","5,965,400"
"Mar 31, 2025","175.42","180.20","173.96","179.70","176.90","9,222,700"
"Mar 28, 2025","179.66","180.73","175.58","176.33","173.58","5,490,600"
"Mar 27, 2025","183.02","183.02","177.52","180.76","177.94","5,035,900"
"Mar 26, 2025","184.26","186.01","183.28","184.49","181.62","5,814,200"
"Mar 25, 2025","184.49","186.84","183.55","183.97","181.10","4,357,200"
"Mar 24, 2025","182.95","187.48","182.53","185.51","182.62","5,694,900"
"Mar 21, 2025","178.53","179.84","177.04","179.00","176.21","11,822,900"
"Mar 20, 2025","179.41","181.81","178.50","180.68","177.87","4,980,000"
"Mar 19, 2025","179.67","183.66","178.71","181.74","178.91","5,675,000"
"Mar 18, 2025","179.70","179.77","177.61","179.45","176.66","4,077,700"
"Mar 17, 2025","176.10","181.29","175.97","179.99","177.19","4,940,400"
"Mar 14, 2025","175.60","176.86","175.07","176.42","173.67","4,927,900"
"Mar 13, 2025","175.08","176.97","172.09","173.60","170.90","5,277,200"
"Mar 12, 2025","178.25","179.62","174.75","175.70","172.96","5,436,100"
"Mar 11, 2025","188.11","188.33","176.91","177.34","174.58","7,981,400"
"Mar 10, 2025","187.62","189.47","183.41","186.49","183.59","9,161,400"
"Mar 7, 2025","189.26","191.27","185.72","190.52","187.55","7,706,800"
"Mar 6, 2025","191.76","193.92","188.50","189.34","186.39","7,120,200"
"Mar 5, 2025","195.22","197.00","190.76","195.57","192.52","5,484,400"
"Mar 4, 2025","196.37","198.93","193.02","194.84","191.81","7,159,200"
"Mar 3, 2025","199.01","200.25","193.59","194.39","191.36","6,141,300"
"Feb 28, 2025","193.29","196.25","191.49","195.99","192.94","9,024,500"
"Feb 27, 2025","197.50","198.13","191.15","191.30","188.32","7,761,700"
"Feb 26, 2025","199.98","200.03","195.78","198.24","195.15","5,611,600"
"Feb 25, 2025","201.47","202.59","198.44","199.98","196.87","7,441,700"
"Feb 24, 2025","202.14","205.41","200.35","200.74","197.61","7,675,900"
"Feb 21, 2025","204.66","205.75","201.31","202.00","198.85","7,349,900"
"Feb 20, 2025","199.32","204.26","197.91","203.96","200.78","9,190,100"
"Feb 19, 2025","189.74","197.96","188.73","196.32","193.26","8,438,300"
"Feb 18, 2025","182.66","187.16","182.66","186.46","183.56","4,578,700"
"Feb 14, 2025","181.51","184.72","181.06","183.03","180.18","4,137,900"
"Feb 13, 2025","179.15","182.30","178.61","180.80","177.98","3,737,300"
"Feb 12, 2025","177.48","180.44","176.76","179.99","177.19","5,364,200"
"Feb 11, 2025","179.35","181.93","179.00","179.25","176.46","3,795,300"
"Feb 10, 2025","181.35","181.57","179.10","180.31","177.50","3,827,100"
"Feb 7, 2025","183.28","183.42","179.28","180.00","177.20","5,380,500"
"Feb 6, 2025","181.28","183.64","180.34","183.28","180.43","5,089,800"
"Feb 5, 2025","179.51","181.80","177.69","181.59","178.76","5,939,800"
"Feb 4, 2025","180.02","183.05","179.55","180.56","177.75","5,785,700"
"Feb 3, 2025","183.03","183.31","178.40","180.94","178.12","6,311,500"
"Jan 31, 2025","1.36","","","","",""
"Jan 31, 2025","183.78","189.03","183.08","184.61","181.73","6,333,700"
"Jan 30, 2025","180.50","185.87","180.27","185.27","181.05","5,807,100"
"Jan 29, 2025","181.02","181.67","179.61","180.27","176.16","4,183,800"
"Jan 28, 2025","185.53","185.65","180.35","180.57","176.45","8,720,300"
"Jan 27, 2025","185.75","190.09","183.70","187.03","182.77","11,771,300"
"Jan 24, 2025","190.00","191.50","185.03","185.52","181.29","15,856,600"
