Date,Open,High,Low,Close,Volume
2025-09-03,23.79,23.98,23.31,23.59,431,200
2025-09-02,23.81,24.20,23.34,23.74,579,800
2025-08-29,24.85,24.96,24.34,24.52,924,900
2025-08-28,24.30,24.99,23.77,24.91,1,958,900
2025-08-27,24.60,24.77,23.72,24.00,2,662,300
2025-08-26,25.10,25.41,24.64,24.77,1,208,300
2025-08-25,25.37,25.42,24.95,24.97,588,600
2025-08-22,24.19,25.38,24.11,25.25,781,200
2025-08-21,23.96,24.59,23.81,24.00,1,015,700
2025-08-20,24.29,24.29,23.33,23.90,732,400
2025-08-19,24.29,24.59,24.02,24.29,494,700
2025-08-18,23.88,24.21,23.76,24.16,537,700
2025-08-15,24.09,24.09,23.34,23.82,675,500
2025-08-14,24.50,24.75,24.04,24.25,664,200
2025-08-13,24.41,25.00,24.41,24.91,773,800
2025-08-12,24.15,24.87,23.80,24.28,967,900
2025-08-11,23.80,24.09,23.58,23.86,1,067,000
2025-08-08,22.95,23.84,22.32,23.61,1,355,500
2025-08-07,22.74,23.14,20.87,22.94,2,001,300
2025-08-06,19.75,20.16,19.29,19.94,1,533,100
2025-08-05,20.88,20.88,19.66,19.94,1,040,500
2025-08-04,20.62,20.81,20.40,20.71,618,700
2025-08-01,20.28,20.79,20.06,20.44,680,400
2025-07-31,21.14,21.35,20.25,20.78,889,100
2025-07-30,21.97,22.30,21.47,21.75,1,162,000
2025-07-29,22.04,22.18,21.45,21.65,730,000
2025-07-28,21.21,21.75,21.13,21.74,669,000
2025-07-25,20.51,21.07,20.36,20.82,340,900
2025-07-24,20.97,21.19,20.55,20.59,311,500
2025-07-23,21.09,21.18,20.68,20.97,492,800
2025-07-22,21.23,21.29,20.61,21.02,551,300
2025-07-21,21.60,21.93,21.32,21.36,492,800
2025-07-18,21.81,21.81,21.18,21.42,755,600
2025-07-17,20.55,21.72,19.99,21.55,916,900
2025-07-16,20.55,20.73,19.92,20.63,623,800
2025-07-15,21.21,21.36,20.74,20.75,607,600
2025-07-14,20.94,20.98,20.41,20.56,472,100
2025-07-11,21.02,21.25,20.90,21.16,382,700
2025-07-10,21.46,21.62,21.26,21.32,442,500
2025-07-09,21.24,21.47,20.84,21.27,378,600
2025-07-08,20.88,21.76,20.87,21.33,430,500
2025-07-07,20.84,21.33,20.62,20.63,599,100
2025-07-03,21.36,21.82,21.19,21.45,463,100
2025-07-02,20.73,21.27,20.62,21.17,424,000
2025-07-01,20.15,21.10,19.98,20.69,750,800
2025-06-30,20.55,20.59,20.22,20.32,598,800
2025-06-27,21.20,21.37,20.23,20.52,2,362,200
2025-06-26,21.08,21.67,20.82,21.22,658,100
2025-06-25,20.99,21.32,20.64,20.69,475,300
2025-06-24,20.22,20.80,20.21,20.78,568,700
2025-06-23,19.74,19.98,19.41,19.72,475,300
