Date,Open,High,Low,Close,Adj Close,Volume
"Sep 3, 2025","84.10","86.28","83.34","86.00","86.00","11,962,800"
"Sep 2, 2025","78.52","81.94","77.90","81.91","81.91","5,777,800"
"Aug 29, 2025","81.57","82.32","79.80","80.34","80.34","5,004,400"
"Aug 28, 2025","80.90","82.16","80.70","82.04","82.04","4,557,500"
"Aug 27, 2025","80.25","80.80","79.55","80.67","80.67","5,536,600"
"Aug 26, 2025","79.10","80.30","79.10","79.71","79.71","8,724,600"
"Aug 25, 2025","76.97","79.84","76.70","79.22","79.22","5,401,400"
"Aug 22, 2025","74.78","77.35","74.57","76.97","76.97","6,521,300"
"Aug 21, 2025","75.75","76.00","74.42","74.66","74.66","5,490,400"
"Aug 20, 2025","75.68","75.68","73.14","75.64","75.64","5,478,100"
"Aug 19, 2025","75.90","76.46","75.11","75.86","75.86","3,770,800"
"Aug 18, 2025","74.79","76.42","74.63","76.29","76.29","5,191,900"
"Aug 15, 2025","76.50","76.58","74.54","75.06","75.06","4,258,400"
"Aug 14, 2025","75.28","76.61","74.72","76.24","76.24","6,621,400"
"Aug 13, 2025","76.28","77.18","75.67","76.07","76.07","5,298,600"
"Aug 12, 2025","74.90","75.93","74.62","75.91","75.91","7,694,700"
"Aug 11, 2025","75.32","76.67","74.37","74.64","74.64","7,304,300"
"Aug 8, 2025","74.93","75.80","74.49","74.97","74.97","4,983,600"
"Aug 7, 2025","73.71","74.61","73.44","74.44","74.44","6,938,300"
"Aug 6, 2025","75.93","76.46","73.51","73.78","73.78","7,647,000"
"Aug 5, 2025","77.94","78.21","74.21","75.84","75.84","5,898,200"
"Aug 4, 2025","77.77","78.02","76.05","77.29","77.29","5,097,400"
"Aug 1, 2025","75.71","77.02","74.49","76.55","76.55","8,789,800"
"Jul 31, 2025","74.25","78.80","73.25","78.69","78.69","24,012,700"
"Jul 30, 2025","69.45","71.81","69.30","71.43","71.43","13,984,000"
"Jul 29, 2025","69.45","71.31","69.41","70.61","70.61","8,861,400"
"Jul 28, 2025","69.40","69.62","68.67","68.99","68.99","4,508,800"
"Jul 25, 2025","69.25","69.72","66.51","68.82","68.82","7,880,400"
"Jul 24, 2025","69.20","69.62","68.34","69.02","69.02","8,054,300"
"Jul 23, 2025","67.61","69.60","67.58","69.32","69.32","7,210,600"
"Jul 22, 2025","68.53","68.77","66.04","67.06","67.06","5,096,700"
"Jul 21, 2025","68.19","68.77","67.70","68.74","68.74","4,128,000"
"Jul 18, 2025","67.86","68.52","67.27","68.00","68.00","4,275,300"
"Jul 17, 2025","66.51","67.68","66.35","67.02","67.02","6,211,300"
"Jul 16, 2025","67.53","67.60","65.80","66.53","66.53","4,780,100"
"Jul 15, 2025","67.95","68.06","67.17","67.53","67.53","6,334,700"
"Jul 14, 2025","66.04","67.35","65.24","66.93","66.93","5,100,300"
"Jul 11, 2025","64.75","66.63","64.23","66.14","66.14","5,339,200"
"Jul 10, 2025","64.96","65.61","64.58","65.06","65.06","3,916,700"
"Jul 9, 2025","64.34","65.12","64.16","64.64","64.64","8,534,200"
"Jul 8, 2025","65.93","66.00","63.67","64.02","64.02","8,355,200"
"Jul 7, 2025","65.80","66.13","64.96","65.22","65.22","6,232,200"
"Jul 3, 2025","65.93","66.83","65.77","66.08","66.08","5,162,100"
"Jul 2, 2025","63.64","65.93","63.01","65.78","65.78","7,125,000"
"Jul 1, 2025","63.68","64.21","62.94","63.84","63.84","5,360,800"
"Jun 30, 2025","63.60","64.34","63.11","63.99","63.99","6,074,400"
"Jun 27, 2025","63.51","63.66","62.65","63.29","63.29","6,642,300"
"Jun 26, 2025","62.65","63.76","62.53","63.51","63.51","5,930,300"
"Jun 25, 2025","62.53","62.89","62.13","62.55","62.55","4,530,300"
"Jun 24, 2025","60.79","62.32","60.57","62.07","62.07","6,021,000"
"Jun 23, 2025","59.00","60.51","58.66","60.38","60.38","4,627,000"
"Jun 20, 2025","59.88","59.94","58.97","59.29","59.29","9,426,300"
"Jun 18, 2025","58.69","59.93","58.53","59.19","59.19","6,647,400"
"Jun 17, 2025","58.08","60.59","57.88","58.57","58.57","9,616,500"
"Jun 16, 2025","56.49","57.69","56.27","57.41","57.41","5,552,500"
"Jun 13, 2025","54.85","56.27","54.60","55.70","55.70","10,554,500"
"Jun 12, 2025","55.28","56.05","55.13","55.78","55.78","3,608,800"
"Jun 11, 2025","56.41","56.84","55.18","55.67","55.67","4,411,400"
"Jun 10, 2025","57.20","57.39","55.57","55.95","55.95","7,168,100"
"Jun 9, 2025","56.53","57.46","56.08","57.02","57.02","6,549,900"
"Jun 6, 2025","55.91","56.75","55.42","55.45","55.45","5,952,100"
"Jun 5, 2025","54.88","55.61","54.22","55.05","55.05","10,981,500"
"Jun 4, 2025","0.1","","","","",""
"Jun 4, 2025","54.00","54.76","53.47","54.43","54.43","4,739,600"
"Jun 3, 2025","52.34","53.92","51.88","53.77","53.67","5,635,300"
"Jun 2, 2025","51.43","52.41","51.17","52.19","52.09","4,214,600"
"May 30, 2025","52.03","52.41","51.25","51.55","51.45","7,402,800"
"May 29, 2025","53.22","53.35","51.99","52.55","52.45","4,570,900"
"May 28, 2025","51.77","52.79","51.64","52.35","52.25","6,782,100"
"May 27, 2025","51.07","51.99","50.62","51.82","51.72","6,374,500"
"May 23, 2025","49.22","50.39","49.00","50.18","50.09","5,763,200"
"May 22, 2025","49.56","51.09","49.28","49.84","49.75","5,802,900"
"May 21, 2025","50.13","51.26","49.33","49.49","49.40","7,278,800"
"May 20, 2025","50.72","51.59","50.35","50.63","50.54","4,930,400"
"May 19, 2025","49.06","50.80","49.02","50.72","50.63","5,283,200"
"May 16, 2025","50.00","50.27","49.54","49.99","49.90","4,955,600"
"May 15, 2025","49.17","49.77","48.81","49.75","49.66","8,249,400"
"May 14, 2025","48.83","49.84","48.58","49.20","49.11","8,649,600"
"May 13, 2025","47.05","49.87","46.68","49.01","48.92","8,113,500"
"May 12, 2025","46.88","47.49","46.40","46.57","46.48","6,957,400"
"May 9, 2025","44.66","45.23","43.88","44.10","44.02","4,960,100"
"May 8, 2025","44.95","45.13","44.17","44.30","44.22","5,320,500"
"May 7, 2025","44.41","44.66","43.60","44.30","44.22","7,564,600"
"May 6, 2025","44.58","44.91","44.11","44.29","44.21","4,952,400"
"May 5, 2025","43.95","45.61","43.95","45.03","44.95","7,522,000"
"May 2, 2025","44.99","45.38","44.48","44.69","44.61","8,263,300"
"May 1, 2025","44.70","45.15","43.86","43.95","43.87","9,378,300"
"Apr 30, 2025","42.98","44.07","41.83","43.86","43.78","15,906,000"
"Apr 29, 2025","40.71","41.25","40.59","40.62","40.54","6,871,700"
"Apr 28, 2025","40.59","41.13","40.18","40.91","40.83","5,916,400"
"Apr 25, 2025","40.20","41.07","39.90","40.78","40.70","4,158,500"
"Apr 24, 2025","38.23","40.36","38.19","40.17","40.10","5,943,900"
"Apr 23, 2025","38.33","39.10","37.47","37.70","37.63","5,526,000"
"Apr 22, 2025","36.36","37.00","35.98","36.68","36.61","5,086,900"
"Apr 21, 2025","36.09","36.28","35.51","35.96","35.89","6,676,600"
"Apr 17, 2025","36.18","36.70","35.51","36.51","36.44","7,393,300"
"Apr 16, 2025","35.79","36.25","35.00","35.62","35.55","7,265,300"
"Apr 15, 2025","35.81","36.33","35.48","35.93","35.86","6,199,500"
"Apr 14, 2025","36.46","36.62","35.28","35.82","35.75","9,947,400"
"Apr 11, 2025","34.36","35.07","33.42","34.40","34.34","8,654,100"
"Apr 10, 2025","35.80","36.12","33.71","34.87","34.81","15,245,500"
"Apr 9, 2025","31.34","37.37","30.57","36.30","36.23","20,134,800"
"Apr 8, 2025","32.65","34.78","30.72","31.55","31.49","17,547,200"
"Apr 7, 2025","29.62","33.41","28.83","31.16","31.10","14,472,100"
"Apr 4, 2025","32.71","33.10","29.76","30.54","30.48","22,939,100"
"Apr 3, 2025","38.76","38.90","34.01","34.15","34.09","21,307,200"
"Apr 2, 2025","40.32","42.23","40.26","41.78","41.70","5,017,500"
"Apr 1, 2025","40.10","40.97","39.85","40.89","40.81","5,292,700"
"Mar 31, 2025","39.79","40.51","39.10","40.43","40.35","8,212,200"
"Mar 28, 2025","41.40","41.99","40.49","40.62","40.54","4,640,100"
"Mar 27, 2025","42.20","42.91","41.86","41.91","41.83","4,909,700"
"Mar 26, 2025","43.50","43.63","42.21","42.62","42.54","7,243,700"
"Mar 25, 2025","44.09","44.28","42.54","43.39","43.31","8,749,500"
"Mar 24, 2025","44.70","44.86","43.45","44.31","44.23","5,619,600"
"Mar 21, 2025","43.89","44.11","43.18","43.66","43.58","7,712,800"
"Mar 20, 2025","44.26","45.53","44.25","44.51","44.43","4,910,100"
"Mar 19, 2025","44.37","45.43","44.15","44.90","44.82","3,603,100"
"Mar 18, 2025","44.54","44.56","43.67","44.34","44.26","5,205,800"
"Mar 17, 2025","44.56","45.44","44.42","44.75","44.67","5,734,100"
"Mar 14, 2025","43.19","44.85","42.95","44.53","44.45","7,882,100"
"Mar 13, 2025","42.57","43.04","41.71","42.03","41.95","5,495,100"
"Mar 12, 2025","42.61","43.70","42.26","42.96","42.88","5,998,300"
"Mar 11, 2025","40.40","42.84","40.31","41.80","41.72","9,283,700"
"Mar 10, 2025","40.68","40.89","39.42","40.54","40.46","10,563,700"
"Mar 7, 2025","41.49","42.48","40.41","41.70","41.62","12,084,700"
"Mar 6, 2025","42.92","43.12","41.36","41.45","41.37","11,790,200"
"Mar 5, 2025","44.66","44.69","43.25","44.20","44.12","7,615,500"
"Mar 4, 2025","46.21","46.35","44.25","44.63","44.55","11,765,400"
"Mar 3, 2025","49.54","49.83","46.50","47.01","46.92","8,841,500"
"Feb 28, 2025","48.33","50.08","48.00","48.93","48.84","9,268,600"
"Feb 27, 2025","50.49","51.48","48.11","48.20","48.11","9,392,100"
"Feb 26, 2025","49.77","50.71","48.77","50.16","50.07","8,546,700"
"Feb 25, 2025","48.71","51.13","48.71","49.07","48.98","11,679,700"
"Feb 24, 2025","1323:1000","","","","",""
"Feb 24, 2025","52.61","52.67","48.23","49.02","48.93","18,354,400"
"Feb 21, 2025","54.16","54.16","51.22","51.93","51.84","11,982,940"
"Feb 20, 2025","54.04","54.23","52.84","53.89","53.78","6,119,404"
