Date,Open,High,Low,Close,Adj Close,Volume
"Sep 3, 2025","3.8300","3.9000","3.7600","3.8000","3.8000","2,739,100"
"Sep 2, 2025","3.9000","3.9000","3.7200","3.8300","3.8300","4,741,900"
"Aug 29, 2025","3.9000","3.9800","3.8700","3.9800","3.9800","2,576,300"
"Aug 28, 2025","3.9300","3.9400","3.8000","3.9000","3.9000","3,070,500"
"Aug 27, 2025","3.8200","3.9400","3.7400","3.8800","3.8800","5,123,800"
"Aug 26, 2025","3.9200","3.9900","3.7900","3.8200","3.8200","4,296,100"
"Aug 25, 2025","3.9100","3.9900","3.8300","3.9300","3.9300","3,485,100"
"Aug 22, 2025","3.7000","4.0400","3.7000","3.8500","3.8500","4,876,700"
"Aug 21, 2025","3.8000","3.8100","3.6600","3.6900","3.6900","4,898,900"
"Aug 20, 2025","3.9300","3.9300","3.8000","3.8200","3.8200","5,828,000"
"Aug 19, 2025","3.9000","4.0400","3.8900","3.9500","3.9500","4,494,000"
"Aug 18, 2025","4.0000","4.0100","3.8500","3.8600","3.8600","4,340,500"
"Aug 15, 2025","4.1700","4.2000","4.0100","4.0200","4.0200","3,485,000"
"Aug 14, 2025","4.2700","4.2700","4.0600","4.1400","4.1400","3,615,400"
"Aug 13, 2025","4.2300","4.4200","4.1700","4.3500","4.3500","4,144,000"
"Aug 12, 2025","4.2200","4.4100","4.2000","4.2200","4.2200","3,306,200"
"Aug 11, 2025","4.1500","4.2600","4.1400","4.2000","4.2000","2,513,600"
"Aug 8, 2025","4.2600","4.3300","4.1000","4.1700","4.1700","3,676,100"
"Aug 7, 2025","4.2000","4.2800","4.1400","4.2200","4.2200","3,368,500"
"Aug 6, 2025","4.2600","4.6000","4.1200","4.1700","4.1700","5,251,900"
"Aug 5, 2025","4.1500","4.2200","4.0600","4.0700","4.0700","3,231,800"
"Aug 4, 2025","3.9700","4.2500","3.9600","4.1300","4.1300","5,146,300"
"Aug 1, 2025","4.0100","4.1900","3.9000","3.9400","3.9400","7,645,800"
"Jul 31, 2025","5.0500","5.2200","4.0000","4.0500","4.0500","15,714,700"
"Jul 30, 2025","5.5200","5.5700","5.2000","5.2200","5.2200","3,546,500"
"Jul 29, 2025","5.9500","6.0000","5.4800","5.5000","5.5000","3,082,500"
"Jul 28, 2025","6.0800","6.0800","5.8600","5.9500","5.9500","1,906,500"
"Jul 25, 2025","5.9300","6.1000","5.8700","6.0800","6.0800","2,295,400"
"Jul 24, 2025","6.5200","6.5500","5.9000","5.9300","5.9300","5,437,200"
"Jul 23, 2025","5.9400","6.8000","5.9400","6.6500","6.6500","10,791,100"
"Jul 22, 2025","5.2100","5.8800","5.2100","5.8300","5.8300","4,864,100"
"Jul 21, 2025","5.1400","5.3500","5.1400","5.2000","5.2000","3,162,300"
"Jul 18, 2025","5.0100","5.0800","4.8700","5.0700","5.0700","3,656,800"
"Jul 17, 2025","4.9200","5.0400","4.9200","4.9500","4.9500","2,266,400"
"Jul 16, 2025","4.8800","5.0000","4.8100","4.9200","4.9200","3,125,500"
"Jul 15, 2025","5.1500","5.2000","4.8400","4.8700","4.8700","4,834,000"
"Jul 14, 2025","5.0700","5.1500","4.9900","5.0900","5.0900","3,246,100"
"Jul 11, 2025","5.0800","5.1800","4.9700","5.1000","5.1000","4,368,300"
"Jul 10, 2025","5.3000","5.3600","5.1000","5.1400","5.1400","6,048,300"
"Jul 9, 2025","5.4500","5.5600","5.2100","5.3000","5.3000","3,219,200"
"Jul 8, 2025","5.3000","5.6200","5.2700","5.4500","5.4500","3,536,600"
