Date,Open,High,Low,Close,Volume
2025-09-03,307.23,308.35,303.55,305.71,345,000
2025-09-02,310.71,313.18,305.43,307.07,732,000
2025-08-29,321.66,321.66,315.83,317.09,440,900
2025-08-28,323.36,324.83,321.91,322.00,261,800
2025-08-27,319.54,322.05,318.31,321.43,395,200
2025-08-26,319.87,324.13,318.18,320.58,619,200
2025-08-25,321.74,322.89,319.51,319.55,311,500
2025-08-22,310.33,324.26,310.33,322.79,495,400
2025-08-21,304.27,309.98,302.71,308.51,392,800
2025-08-20,310.24,310.52,302.83,304.74,652,100
2025-08-19,316.98,321.69,311.39,312.06,542,800
2025-08-18,318.67,322.08,317.00,317.48,360,200
2025-08-15,327.98,328.32,316.21,317.90,523,900
2025-08-14,334.92,337.49,326.16,327.71,604,800
2025-08-13,329.65,338.17,329.25,337.80,539,200
2025-08-12,315.82,328.57,311.76,328.14,628,400
2025-08-11,317.95,320.85,310.62,312.45,535,600
2025-08-08,319.03,323.75,316.31,317.66,612,500
2025-08-07,313.05,320.00,308.07,316.01,786,100
2025-08-06,303.01,309.08,299.48,308.31,1,127,500
2025-08-05,350.64,350.64,300.75,302.60,2,001,700
2025-08-04,337.86,342.41,337.02,341.36,1,032,600
2025-08-01,329.71,336.95,321.95,335.24,976,400
2025-07-31,334.44,352.66,329.21,339.02,1,351,200
2025-07-30,333.62,337.71,329.83,332.39,368,000
2025-07-29,337.26,338.20,330.68,331.60,236,900
2025-07-28,337.80,337.80,334.37,334.69,303,200
2025-07-25,334.16,336.15,329.40,335.69,298,300
2025-07-24,334.71,336.06,333.00,333.40,317,800
2025-07-23,331.00,337.07,328.58,336.77,368,400
2025-07-22,328.10,330.15,324.46,328.10,434,700
2025-07-21,332.16,334.00,328.27,328.38,371,900
2025-07-18,331.70,332.68,328.60,331.73,426,600
2025-07-17,320.55,331.30,320.55,329.90,393,400
2025-07-16,321.21,321.21,312.69,319.47,297,900
2025-07-15,325.22,325.93,317.46,319.55,297,500
2025-07-14,325.19,329.56,319.39,322.83,378,700
2025-07-11,326.02,329.86,324.14,327.14,417,500
2025-07-10,326.27,335.85,325.14,330.35,477,600
2025-07-09,323.06,325.38,316.55,321.78,361,000
2025-07-08,320.40,323.98,318.05,323.06,372,900
2025-07-07,320.53,324.33,316.70,317.11,420,400
2025-07-03,323.53,326.64,318.50,323.72,257,500
2025-07-02,315.48,321.42,312.62,320.39,428,800
2025-07-01,307.54,320.99,307.54,315.48,452,000
2025-06-30,311.57,311.57,306.28,308.36,783,800
2025-06-27,310.22,313.16,306.55,309.26,893,900
2025-06-26,303.43,308.66,302.82,308.32,443,200
2025-06-25,300.79,303.19,298.83,303.05,284,900
2025-06-24,300.00,302.44,296.91,298.94,541,600
2025-06-23,291.50,296.57,288.53,296.25,411,700
2025-06-20,295.10,295.74,290.60,294.04,777,900
2025-06-18,289.89,296.73,289.08,291.73,571,200
2025-06-17,290.76,295.84,289.11,289.36,570,200
2025-06-16,288.07,293.85,287.34,293.06,379,000
2025-06-13,287.13,288.60,282.65,283.61,309,700
2025-06-12,290.03,293.39,290.00,292.68,295,900
2025-06-11,301.67,301.67,291.77,292.82,384,200
2025-06-10,298.63,300.59,296.11,299.56,398,500
2025-06-09,298.76,300.67,296.26,298.63,341,700
2025-06-06,295.99,297.87,293.56,295.36,299,500
2025-06-05,293.00,295.07,288.40,291.24,468,900
2025-06-04,294.13,294.47,290.88,291.03,352,700
2025-06-03,286.28,292.18,282.74,291.99,641,500
2025-06-02,287.67,288.17,282.03,285.96,503,700
2025-05-30,289.93,290.56,283.92,289.77,656,100
2025-05-29,292.55,295.44,288.40,292.50,414,700
2025-05-28,295.29,297.01,290.38,290.80,409,500
2025-05-27,290.16,295.32,286.92,295.01,415,300
2025-05-23,280.48,285.25,278.51,284.21,325,300
2025-05-22,287.38,290.22,286.48,288.36,353,100
2025-05-21,293.32,296.97,286.96,287.92,574,200
2025-05-20,295.78,298.43,295.31,296.97,370,200
2025-05-19,293.44,298.42,293.44,297.82,404,600
2025-05-16,297.94,301.14,295.09,300.62,410,000
2025-05-15,297.02,299.21,296.06,298.35,442,100
2025-05-14,301.14,301.72,295.47,299.27,577,700
2025-05-13,300.75,305.29,300.37,302.38,846,800
2025-05-12,289.93,302.79,289.92,300.11,1,726,700
2025-05-09,267.67,268.58,264.64,266.71,700,800
2025-05-08,261.37,266.65,258.51,265.37,711,000
2025-05-07,252.41,259.84,251.86,257.28,822,600
2025-05-06,246.87,251.77,246.00,250.85,521,600
2025-05-05,252.47,255.55,250.60,250.70,426,400
2025-05-02,254.69,259.04,251.94,255.95,525,800
2025-05-01,251.58,253.24,248.46,249.64,507,800
2025-04-30,246.18,251.29,243.53,250.32,762,600
2025-04-29,262.11,265.05,251.94,256.05,1,599,800
2025-04-28,246.00,250.33,239.45,243.49,1,094,500
2025-04-25,243.19,247.96,241.47,246.24,530,200
2025-04-24,237.00,246.21,236.75,244.08,411,100
2025-04-23,237.89,248.05,233.52,234.48,507,400
2025-04-22,226.36,228.89,222.69,227.20,582,600
2025-04-21,221.56,224.61,217.33,222.05,443,400
2025-04-17,226.70,229.31,224.09,226.73,391,100
2025-04-16,224.64,227.93,220.34,224.76,748,700
2025-04-15,229.52,234.00,227.69,228.11,619,000
2025-04-14,233.77,235.09,226.63,231.77,694,400
2025-04-11,221.15,229.92,216.86,225.44,1,103,900
2025-04-10,234.36,237.17,219.22,223.37,999,000
2025-04-09,213.02,247.52,205.73,243.77,1,527,800
2025-04-08,231.94,232.54,209.38,213.54,878,300
2025-04-07,216.65,231.39,210.76,223.49,1,091,800
2025-04-04,222.24,227.11,208.35,223.49,1,846,500
2025-04-03,270.49,270.54,238.10,238.50,1,372,200
2025-04-02,279.06,289.93,279.06,287.57,319,100
2025-04-01,280.96,284.85,279.32,283.07,359,300
2025-03-31,278.00,283.55,273.66,282.56,539,100
2025-03-28,285.14,285.52,277.37,280.79,289,700
2025-03-27,286.24,287.66,282.81,285.14,236,500
2025-03-26,292.05,292.11,285.75,288.02,319,900
2025-03-25,297.39,299.49,289.47,291.02,348,900
2025-03-24,294.33,301.77,293.86,297.41,512,000
2025-03-21,282.50,290.44,280.25,289.99,1,471,900
2025-03-20,283.11,288.71,283.11,285.01,499,300
2025-03-19,283.50,289.09,282.30,285.83,455,900
2025-03-18,282.72,285.54,281.92,282.58,323,500
2025-03-17,278.47,287.32,278.47,285.27,416,600
2025-03-14,275.84,279.38,272.48,278.97,526,200
2025-03-13,279.00,283.00,271.03,271.72,476,000
2025-03-12,283.26,286.46,278.22,279.18,491,600
2025-03-11,283.53,284.59,278.24,280.33,754,700
2025-03-10,288.00,290.52,280.37,283.36,762,200
2025-03-07,292.68,294.85,285.58,292.69,1,178,300
2025-03-06,299.44,302.70,294.00,294.56,469,000
2025-03-05,297.89,304.40,295.72,304.00,578,200
2025-03-04,304.54,304.63,296.18,297.92,848,400
2025-03-03,315.09,319.82,305.73,306.84,586,800
2025-02-28,310.05,315.31,307.16,315.05,611,600
2025-02-27,318.01,319.52,310.53,311.00,519,400
2025-02-26,314.87,323.69,312.93,319.48,572,200
2025-02-25,310.44,312.43,307.99,310.34,453,200
2025-02-24,313.03,313.96,307.74,309.55,517,500
2025-02-21,321.09,321.09,308.05,311.05,587,700
2025-02-20,324.37,325.12,317.59,320.98,560,600
2025-02-19,330.18,331.14,319.64,324.75,568,000
2025-02-18,317.05,331.24,314.60,331.08,1,150,100
2025-02-14,321.00,321.87,312.37,318.36,868,900
2025-02-13,329.48,347.37,319.60,323.42,1,714,200
2025-02-12,349.25,355.99,348.50,352.92,1,316,500
2025-02-11,355.58,359.35,353.56,354.40,951,800
2025-02-10,365.08,365.47,357.57,358.44,859,700
2025-02-07,376.12,376.89,353.86,363.44,1,423,700
2025-02-06,385.87,386.79,376.27,376.80,579,200
2025-02-05,385.35,390.88,383.32,388.04,408,800
2025-02-04,384.14,389.80,382.95,383.46,444,500
2025-02-03,384.10,388.63,377.16,386.09,567,700
2025-01-31,395.30,400.55,391.14,391.94,549,000
2025-01-30,400.84,402.07,391.90,394.70,470,400
2025-01-29,404.56,404.67,398.56,399.59,275,200
2025-01-28,400.00,405.93,394.31,405.59,426,800
2025-01-27,404.63,408.11,397.07,399.36,413,100
2025-01-24,419.06,420.08,413.74,414.61,258,900
2025-01-23,417.62,422.29,414.45,421.11,377,100
2025-01-22,425.24,427.76,419.59,420.57,497,500
2025-01-21,407.62,419.85,407.62,418.07,446,000
2025-01-17,406.04,407.29,402.29,405.71,270,600
2025-01-16,403.00,404.40,399.34,402.72,303,200
2025-01-15,400.77,404.56,397.30,400.25,320,500
2025-01-14,381.88,395.00,378.04,394.40,414,500
2025-01-13,379.69,385.14,376.43,381.69,505,200
2025-01-10,389.38,390.70,379.94,385.54,460,000
2025-01-08,393.83,399.80,391.10,397.00,413,600
2025-01-07,395.42,399.37,393.19,396.11,353,800
